Pre Match.match_num,Pre Match.teamNum,Pre Match.allianceColor,Auton.autonCoral L4,Auton.autonCoral L3,Auton.autonCoral L2,Auton.autonCoral L1,Auton.autonCoralMissed,Auton.autonProc,Auton.autonNet,Match.matchCoral L4,Match.matchCoral L3,Match.matchCoral L2,Match.matchCoral L1,Match.MatchCoralMissed,Match.matchProc,Match.matchNet
19,781,blueAlliance,2,0,0,0,0,0,0,3,3,1,0,1,0,4
19,467,redAlliance,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,9496,blueAlliance,3,0,0,0,0,0,0,3,5,4,0,0,3,0
19,5193,blueAlliance,0,0,0,0,0,0,0,0,2,2,1,0,0,0
20,4009,redAlliance,0,0,0,0,2,0,0,4,4,1,0,3,0,1
20,801,redAlliance,1,0,0,0,0,0,0,3,1,0,0,1,2,1
20,2383,redAlliance,1,0,0,0,0,0,0,4,5,3,0,0,0,0
20,4145,blueAlliance,1,0,0,0,0,0,0,2,0,2,0,0,0,2
20,2539,blueAlliance,2,0,0,0,0,0,0,6,7,4,0,0,0,0
20,3197,blueAlliance,0,0,0,0,1,0,0,3,2,3,0,0,0,6
21,3928,blueAlliance,0,0,0,0,0,0,0,2,3,4,0,0,1,0
21,3045,redAlliance,0,0,0,0,2,0,0,3,4,5,0,1,1,0
21,5013,redAlliance,2,0,0,0,0,0,0,5,2,0,0,4,0,0
21,2491,redAlliance,0,1,0,0,1,0,2,5,4,3,0,3,0,2
21,195,blueAlliance,0,0,0,0,0,0,0,2,2,1,2,0,0,0
21,33,blueAlliance,1,0,0,1,1,0,0,5,3,1,0,0,0,6
22,3130,redAlliance,2,0,0,0,0,0,0,7,5,0,0,1,0,0
22,1038,redAlliance,0,0,0,0,0,0,2,0,0,0,0,0,1,4
22,9134,blueAlliance,1,0,0,0,0,0,0,0,0,0,0,0,2,0
22,10479,blueAlliance,2,0,0,0,0,0,0,1,2,3,0,1,0,0
22,2200,blueAlliance,2,0,0,0,0,0,0,1,6,4,0,2,0,0
23,10157,redAlliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,6621,redAlliance,2,0,0,0,1,0,0,8,4,2,0,0,0,0
23,3970,blueAlliance,0,0,0,0,1,0,0,3,3,3,0,1,1,0
23,5736,blueAlliance,2,0,0,0,0,0,0,1,1,1,0,0,0,0
23,3794,redAlliance,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,5985,blueAlliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,2485,redAlliance,1,0,0,0,1,0,0,3,4,3,0,3,0,1
24,7632,blueAlliance,3,0,0,0,1,0,0,2,3,4,0,2,0,0
24,1700,redAlliance,0,0,0,0,0,0,0,4,0,0,0,4,0,0
24,9635,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24,70,blueAlliance,1,0,0,0,0,0,0,0,0,2,0,0,0,3
24,2960,blueAlliance,2,0,0,0,0,0,0,2,3,3,0,3,0,0
25,2522,blueAlliance,1,0,0,0,1,0,0,8,0,0,0,2,0,0
25,1153,blueAlliance,0,2,1,0,0,0,0,0,4,1,0,0,2,2
25,9545,redAlliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,9245,blueAlliance,0,0,0,0,0,0,0,1,1,3,0,0,0,0
25,2470,blueAlliance,1,0,0,0,0,0,0,1,0,0,0,1,0,0
25,2470,blueAlliance,1,0,0,0,0,0,0,1,0,0,0,1,0,0
25,888,redAlliance,0,0,0,0,2,0,0,10,2,0,0,1,0,0
26,9450,blueAlliance,2,0,0,0,0,0,0,7,3,0,0,0,0,5
26,6873,blueAlliance,0,0,0,0,0,0,0,0,6,2,0,1,0,0
26,2080,redAlliance,1,0,0,0,0,0,0,3,2,0,1,2,0,0
26,3814,blueAlliance,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,2767,redAlliance,1,0,0,0,0,0,2,1,3,3,0,1,3,0
27,781,blueAlliance,1,0,0,0,2,0,0,6,1,0,0,1,0,4
27,4907,redAlliance,1,0,0,0,0,0,0,3,5,2,1,0,0,3
27,3882,blueAlliance,0,0,0,0,1,0,0,1,1,1,0,2,0,0
27,3656,redAlliance,1,0,0,0,0,0,0,2,2,0,2,0,2,0
27,2877,blueAlliance,2,0,0,0,1,0,0,2,4,2,2,2,1,0
27,1768,redAlliance,3,0,0,0,1,0,0,2,5,9,1,1,1,0
28,5193,redAlliance,0,0,2,0,0,0,0,0,2,1,0,0,0,0
28,2539,redAlliance,2,1,0,0,0,0,0,7,6,0,0,2,0,0
28,86,blueAlliance,2,0,0,0,0,0,0,3,4,3,0,1,0,0
28,6324,blueAlliance,1,0,0,0,2,0,0,4,3,4,0,3,0,0
28,4728,blueAlliance,1,0,0,0,0,0,0,1,2,5,0,2,0,0
28,7902,redAlliance,0,0,0,0,0,1,0,0,0,2,0,0,0,1
29,540,blueAlliance,1,0,0,0,0,0,0,3,6,5,0,3,0,0
29,467,blueAlliance,2,0,0,0,1,0,0,2,3,3,0,2,0,0
29,3928,redAlliance,0,0,0,0,0,0,0,6,0,0,0,1,0,0
29,4009,blueAlliance,2,0,0,0,1,0,0,3,4,3,0,0,0,0
30,801,blueAlliance,2,0,0,0,0,0,0,5,3,0,0,3,0,0
30,195,blueAlliance,2,0,0,0,0,0,0,4,6,0,1,2,0,0
30,9134,redAlliance,1,0,0,0,1,0,0,3,5,0,0,3,0,0
30,8595,blueAlliance,0,1,0,0,0,0,1,0,0,0,0,0,2,4
31,3197,redAlliance,2,0,0,0,1,0,0,3,2,4,0,0,0,4
31,51,blueAlliance,1,0,0,0,0,0,0,0,0,0,0,0,0,0
